satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0
G02,3139.342218269012,14591866.966557112,-5125610.266319888,22056116.95658494,22792039.017682195,47.2
G03,3139.3385134040145,23173479.482240584,-12102446.045672685,4147832.625594413,24131358.534740735,44.3
G08,3139.3481743880548,24944545.530409124,4723196.893046651,8404084.294735465,21178412.136658646,50.7
G10,3155.342627316015,-1422253.478673378,17205202.58820848,20295954.526775006,22802966.663672205,36.2
G21,3139.346333184978,15717806.50748737,1649481.8821763806,21896290.070443552,21732699.375334933,44.1
G27,3139.3447563149966,23134798.299755145,13296734.952176219,-2727530.9775311192,22161735.16137114,43.2
G28,3139.3391074769897,5190524.141343625,25780713.095625866,-3750984.7821385763,23800201.24902511,38.1
G32,3139.3471254500328,8004524.969909515,17928069.811361097,18190163.98179976,21271716.472752698,42.2
G02,3140.3422198659973,14592304.580027768,-5122959.862970568,22056477.773290534,22791560.25545099,47.6
G03,3140.3385149930837,23173144.851224016,-12101962.982488178,4151008.9555503884,24130882.15016987,44.8
G08,3140.3481737220427,24945418.424417596,4723865.152570108,8401196.8474223,21178611.80900284,51.8
G10,3156.342626048019,-1424413.5119917523,17206531.817258596,20294631.996999994,22803346.797920316,38.0
G21,3140.346334250062,15718230.65578289,1652110.6281089815,21895876.27374978,21732380.07077358,44.9
G27,3140.344754423015,23134418.74395557,13296813.731150793,-2730657.68200507,22162302.362566903,43.4
G28,3140.339109098073,5190297.342903983,25781212.273909174,-3747855.105153496,23799715.255928084,38.3
G32,3140.34712454502,8002427.067206227,17927217.899219863,18191927.459506024,21271987.78860179,43.1
G02,3141.342221442028,14592742.360147364,-5120309.446315745,22056838.140255928,22791087.775298174,46.7
G03,3141.3385165710934,23172809.915852107,-12101479.67473145,4154185.1962405485,24130409.08114038,45.3
G08,3141.34817304404,24946291.02859182,4724533.211462991,8398309.225013707,21178815.07609189,51.1
G10,3157.342624756042,-1426573.3289631158,17207861.090288807,20293309.039628055,22803734.121658135,37.3
G21,3141.3463353000116,15718654.952934412,1654739.2874807492,21895462.033861294,21732065.303268835,46.9
G27,3141.3447525410447,23134038.844766606,13296892.361541457,-2733784.330090749,22162866.562325213,42.1
G28,3141.339110678993,5190070.5344691,25781711.074079,-3744725.34857729,23799241.303481303,38.6
G32,3141.3471236350015,8000328.91648469,17926366.015748844,18193690.55899021,21272260.6051696,44.0
G02,3142.3422230180586,14593180.306921367,-5117659.01636445,22057198.057482753,22790615.29514536,44.2
G03,3142.3385181290796,23172474.67616816,-12100996.122369658,4157361.34756798,24129942.01498579,46.7
G08,3142.3481723760488,24947163.34290964,4725201.069772164,8395421.427506812,21179015.341743484,43.2
G10,3158.342623424018,-1428732.929511982,17209190.407223888,20291985.654706735,22804133.451145757,40.6
G21,3142.346336363,15719079.398937466,1657367.860305056,21895047.350778345,21731746.626915317,38.8
G27,3142.3447506399825,23133658.602184948,13296970.843395937,-2736910.9216327523,22163436.485754948,43.5
G28,3142.3391122299945,5189843.71598544,25782209.49613379,-3741595.512444453,23798776.32044644,33.2
G32,3142.3471227190457,7998230.517783548,17925514.160998203,18195453.280214105,21272535.20165962,41.1
G02,3143.3422246270347,14593618.420360496,-5115008.573093904,22057557.52497694,22790132.9381693,38.5
G03,3143.3385197180323,23172139.13219523,-12100512.32534123,4160537.4096261985,24129465.665315356,37.5
G08,3143.34817170701,24948035.367320042,4725868.727522488,8392533.454994256,21179215.921499003,46.3
G10,3159.342622161028,-1430892.3138336157,17210519.76815497,20290661.842117902,22804512.08467514,41.2
G21,3143.346337413066,15719503.99376461,1659996.3464529663,21894632.22452363,21731431.82451014,41.7
G27,3143.3447487440426,23133278.0161874,13297049.176765535,-2740037.4566423907,22164004.873565514,40.6
G28,3143.33911379904,5189616.8873903435,25782707.54009093,-3738465.596671429,23798305.927844074,31.9
G32,3143.3471218060004,7996131.871120844,17924662.33500982,18197215.623156678,21272808.925638758,43.6
