,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
0,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,02,0.0,16399,579096340796082,11,43.0,-505.6047058105469,0.05019833892583847,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,38.0,0.0,0.0,,,C,338292111201719,G,G02
1,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,03,0.0,16399,579096337091455,12,42.0,-504.386474609375,0.025497570633888245,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,37.0,0.0,0.0,,,C,338292111201719,G,G03
2,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,08,0.0,16399,579096346848812,7,47.8,165.79957580566406,0.0387054942548275,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,42.8,0.0,0.0,,,C,338292111201719,G,G08
3,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,10,0.0,16399,579096341328621,16,39.0,355.62664794921875,0.05640523508191109,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,34.0,0.0,0.0,,,C,338292111201719,G,G10
4,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,21,0.0,16399,579096344933593,10,44.3,-348.5203857421875,0.043399106711149216,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,39.3,0.0,0.0,,,C,338292111201719,G,G21
5,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,27,0.0,16399,579096343483341,9,45.2,533.8138427734375,0.04430919513106346,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,40.2,0.0,0.0,,,C,338292111201719,G,G27
6,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,28,0.0,16399,579096337684715,24,35.5,-510.6150207519531,0.527999997138977,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,30.5,0.0,0.0,,,C,338292111201719,G,G28
7,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,32,0.0,16399,579096345809951,9,45.6,236.67388916015625,0.04130919650197029,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,40.6,0.0,0.0,,,C,338292111201719,G,G32
33,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,03,0.0,81935,579096337099246,8,32.3,-503.9033203125,3.8995773792266846,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.83,27.299999999999997,-7861.54052734375,6.015102386474609,,,Q,338292111201719,G,G03
34,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,08,0.0,81935,579096346856653,7,34.7,166.0158233642578,0.09900851547718048,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.83,29.700000000000003,-7861.54052734375,6.015102386474609,,,Q,338292111201719,G,G08
35,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,27,0.0,81935,579096343491200,8,33.7,532.78173828125,0.6360000371932983,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.83,28.700000000000003,-7861.54052734375,6.015102386474609,,,Q,338292111201719,G,G27
36,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,32,0.0,81935,579096345817816,14,27.8,237.5379638671875,1.0190000534057617,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.83,22.8,-7861.54052734375,6.015102386474609,,,Q,338292111201719,G,G32
53,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,02,0.0,16399,579097340797767,9,45.2,-505.4778747558594,0.048809196799993515,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,40.2,0.0,0.0,,,C,338293119580989,G,G02
54,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,03,0.0,16399,579097337093142,11,43.4,-504.374755859375,0.02469833754003048,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,38.4,0.0,0.0,,,C,338293119580989,G,G03
55,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,08,0.0,16399,579097346848258,6,49.8,165.98670959472656,0.037792082875967026,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,44.8,0.0,0.0,,,C,338293119580989,G,G08
56,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,10,0.0,16399,579097341327440,13,41.7,355.7349548339844,0.05039195343852043,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,36.7,0.0,0.0,,,C,338293119580989,G,G10
57,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,21,0.0,16399,579097344934759,8,46.7,-348.3982849121094,0.04220025613903999,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,41.7,0.0,0.0,,,C,338293119580989,G,G21
58,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,27,0.0,16399,579097343481574,7,47.7,533.9739990234375,0.043205492198467255,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,42.7,0.0,0.0,,,C,338293119580989,G,G27
59,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,28,0.0,16399,579097337686387,19,37.8,-510.6340637207031,0.4580000042915344,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,32.8,0.0,0.0,,,C,338293119580989,G,G28
60,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,32,0.0,16399,579097345809170,8,46.8,236.8504180908203,0.04070025682449341,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,41.8,0.0,0.0,,,C,338293119580989,G,G32
86,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,03,0.0,81935,579097337100933,6,36.7,-504.6493225097656,2.3760368824005127,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.73,31.700000000000003,-7861.53955078125,6.015183925628662,,,Q,338293119580989,G,G03
87,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,08,0.0,81935,579097346856103,5,38.2,165.76292419433594,0.05711478739976883,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.73,33.2,-7861.53955078125,6.015183925628662,,,Q,338293119580989,G,G08
88,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,27,0.0,81935,579097343489422,6,36.6,533.737060546875,6.941941261291504,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.73,31.6,-7861.53955078125,6.015183925628662,,,Q,338293119580989,G,G27
89,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,32,0.0,81935,579097345817041,10,30.0,236.56105041503903,3.156183958053589,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.73,25.0,-7861.53955078125,6.015183925628662,,,Q,338293119580989,G,G32
106,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,02,0.0,16399,579098340799454,11,43.0,-506.27142333984375,0.05019833892583847,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,38.0,0.0,0.0,,,C,338294115615885,G,G02
107,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,03,0.0,16399,579098337094827,12,42.4,-505.0639343261719,0.025497570633888245,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,37.4,0.0,0.0,,,C,338294115615885,G,G03
108,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,08,0.0,16399,579098346847715,6,48.0,165.32833862304688,0.03830587491393089,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,43.0,0.0,0.0,,,C,338294115615885,G,G08
109,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,10,0.0,16399,579098341326267,16,39.7,354.9705505371094,0.05640523508191109,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,34.7,0.0,0.0,,,C,338294115615885,G,G10
110,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,21,0.0,16399,579098344935914,10,44.7,-349.1448974609375,0.043399106711149216,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,39.7,0.0,0.0,,,C,338294115615885,G,G21
111,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,27,0.0,16399,579098343479793,9,45.5,533.2472534179688,0.04430919513106346,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,40.5,0.0,0.0,,,C,338294115615885,G,G27
112,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,28,0.0,16399,579098337688129,21,36.2,-511.4332885742188,0.49799999594688416,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,31.200000000000003,0.0,0.0,,,C,338294115615885,G,G28
113,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,32,0.0,16399,579098345808372,9,45.5,236.1792755126953,0.04130919650197029,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,40.5,0.0,0.0,,,C,338294115615885,G,G32
140,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,03,0.0,81935,579098337102610,9,31.9,-506.5216979980469,0.7669999599456787,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.97,26.9,-7861.53955078125,6.015265464782715,,,Q,338294115615885,G,G03
